전하고 싶은 말들||SoloZ||R&B||354
Eyeline||Grey Day||R&B||521
잠시만요 (Feat. 코스믹걸)||아토 (ATO)||R&B||988
무제(無題) (Untitled, 2014)||G-DRAGON||R&B||329
First Movie||Make A Movie (메이크어무비)||R&B||153
라면먹고갈래? (Feat. 유희 &amp; 오즈무드)||이선생||R&B||744
바람||루리||R&B||81
인'썸'니아||박보람||R&B||915
DO IT DO IT||오늘||R&B||143
Who You Are (With 제이 &amp; 넋업샨)||빈센트||R&B||679
Always||김한현||R&B||178
잠든척||이지훈||R&B||539
잠시만 안녕||애즈 원 (As One)||R&B||995
MISERY||파이어스 (PIUS)||R&B||821
써||오스카 (Oskar)||R&B||761
And You||구현||R&B||547
Show Me||제이슨 정 (Jason Jeong)||R&B||102
Your Light||아티 (Arty)||R&B||501
같은 밤||SOMA (소마)||R&B||48
다라다 (DA RA DA)||휘인 (마마무) &amp; Jeff Bernat &amp; 비오 (B.O.)||R&B||386
혼잣말 해||하이연 (Hiyeon)||R&B||695
1＋1=0 (Feat. DEAN)||수란 (SURAN)||R&B||334
그 자리에서||서달달 &amp; 이노스 (Inno's)||R&B||259
처음부터 다시 (My Destiny) (Feat. 재필)||허밍웨이||R&B||589
귓속말||레트로 트왱 (Retro Twang)||R&B||946
일가기싫어||Western River Sound||R&B||82
Drivin||박영애||R&B||384
술||Sienna (씨에나)||R&B||369
부릉부릉||락커스빈||R&B||633
Real Love||Bleo (블레오)||R&B||77
Beautiful Birth||Birthday427||R&B||728
바보||블루스완 (BLUE SWAN)||R&B||208
지금이 좋아||아이엠 (I Am)||R&B||157
Best Day Ever||PENKO||R&B||372
미끄럽네요||Silla (실라)||R&B||449
Overlap||소피아 (Sophiya)||R&B||107
목소리||테일러 (Taylor)||R&B||502
얼마전까지||도상미||R&B||618
Tight (Feat. Michael)||독스 (Dawgs)||R&B||169
SEND||권숭||R&B||754
널 새겨줘||송은지||R&B||23
아무일도 없는 밤||톰톰 (TOMTOM)||R&B||246
타이밍 (Feat. 유승우)||러비 (Lovey)||R&B||729
해, 달, 별||크나큰||R&B||717
AMAZON||OVCOCO (오브 코코)||R&B||778
엄마엄마엄마 (Prod. by 서달달)||최봄 (Choi bom)||R&B||921
Just Stay With Me (Feat. DION)||traila $ong||R&B||104
DumbWanderer||IVeR &amp; Eivets||R&B||917
잊지못해||진필||R&B||504
알겠어 (I Guess So)||OJO||R&B||370
Nana||Sym The Blank||R&B||519
Sorry||카민 (Carmine)||R&B||60
After TIME||아린 (A:LIN)||R&B||215
좋아해서||OHNEW (온유)||R&B||666
Dump Dump (Prod. by Blanc)||Newzz||R&B||834
White Rose||Ryan||R&B||410
몸만오면돼요 (Feat. 신예)||베일리 (Bailey)||R&B||859
사랑인가 봐요||슬로 (Sllo)||R&B||713
상관없어||흑꼬||R&B||366
It's All You (Feat. 4ollyan &amp; Pion)||Jmann||R&B||260
It Was Beautiful||Hooul||R&B||404
밤||한기란||R&B||236
OMD (One More Drink) (Feat. 진돗개)||이난 (ENAN)||R&B||375
Sky, Higher||SWANG||R&B||743
향수 (Feat. 안준현)||센유프로젝트||R&B||230
Nocturn||V.O.S||R&B||816
S (Prod. by U-TREND) (Feat. J.DOC)||LYON||R&B||615
Midnight||타이딜로 (TYDLOW)||R&B||160
사색 (Feat. 알틱 &amp; NON (에노엔))||문사운드||R&B||739
Grey Dream (Feat. 김누리 &amp; Shar &amp; 월리)||권PD||R&B||598
You Only Live Once||필굿 (Feel Good)||R&B||490
I Think (Feat. 지예 (Z.ye))||MuM||R&B||838
